iter	Logloss
0	0.6785662587
1	0.6629028072
2	0.6498332139
3	0.6381464148
4	0.6294150273
5	0.6194621978
6	0.6102203557
7	0.6033974829
8	0.5973353434
9	0.5898111789
10	0.583618109
11	0.5765425634
12	0.5699170453
13	0.5632853641
14	0.5581876497
15	0.5523779632
16	0.5489928161
17	0.5445958939
18	0.5396939115
19	0.5346669977
20	0.5304840119
21	0.5254098236
22	0.5215235294
23	0.5185922218
24	0.51581935
25	0.5126847432
26	0.5109977041
27	0.5078260318
28	0.5043473826
29	0.5018958782
30	0.500205924
31	0.4970005231
32	0.4943332591
33	0.4920180687
34	0.4896014762
35	0.4878669732
36	0.4864919062
37	0.4841878367
38	0.481848872
39	0.4807345532
40	0.4789428317
41	0.4765747753
42	0.4746269946
43	0.4725635397
44	0.4711407454
45	0.4689399313
46	0.466890875
47	0.4651176404
48	0.4640674555
49	0.462268374
50	0.4601432331
51	0.4583043856
52	0.4559117356
53	0.4543735069
54	0.4528060708
55	0.4508359472
56	0.4493644983
57	0.4471083236
58	0.4457630902
59	0.4449539845
60	0.4439182176
61	0.4419921814
62	0.4407054108
63	0.4382443562
64	0.4359237339
65	0.433157923
66	0.4318712708
67	0.4310186405
68	0.4288056371
69	0.4272092431
70	0.4258475191
71	0.4245347544
72	0.423268761
73	0.4215645689
74	0.4201601658
75	0.4184333763
76	0.4165714375
77	0.4154314103
78	0.4140213205
79	0.4125312266
80	0.4108909484
81	0.4090948312
82	0.4083553993
83	0.4068243303
84	0.4054142429
85	0.403927966
86	0.4030952585
87	0.4022038068
88	0.401317055
89	0.4005885596
90	0.3995201612
91	0.3989196202
92	0.3976749194
93	0.3968642646
94	0.3953389971
95	0.3940683867
96	0.392834888
97	0.3918847834
98	0.39093453
99	0.3897318167
100	0.3887195992
101	0.3872952783
102	0.3854351215
103	0.3847810831
104	0.3826666452
105	0.3813283707
106	0.3799534759
107	0.3784993166
108	0.376738829
109	0.3756668133
110	0.3748602533
111	0.3741082764
112	0.3733133941
113	0.3711571587
114	0.3702246175
115	0.3688349014
116	0.3677197792
117	0.3657101831
118	0.3648293357
119	0.3632860553
120	0.3619829268
121	0.3610903023
122	0.3603119295
123	0.3593926374
124	0.3589611484
125	0.3583576443
126	0.357724591
127	0.3568913405
128	0.3561650641
129	0.3551500836
130	0.3543430076
131	0.3534917506
132	0.3524793153
133	0.3510332803
134	0.350316257
135	0.348534414
136	0.3465396269
137	0.3458349058
138	0.3446248872
139	0.3437621186
140	0.3429350924
141	0.3423993351
142	0.3411952903
143	0.3405429765
144	0.3397918383
145	0.3385721714
146	0.3374619029
147	0.3364659612
148	0.3359695322
149	0.3345485038
150	0.3334091937
151	0.3323776753
152	0.3310721115
153	0.3295151778
154	0.3286120702
155	0.3274873198
156	0.3268275718
157	0.325326809
158	0.3243915549
159	0.32339763
160	0.322637476
161	0.3217059118
162	0.3205003104
163	0.3196502049
164	0.3180791477
165	0.3172821346
166	0.3166548183
167	0.3154977509
168	0.3144346184
169	0.313782523
170	0.3132632116
171	0.312182788
172	0.3108445501
173	0.3092314053
174	0.3079103026
175	0.3065773941
176	0.3047540781
177	0.3042759179
178	0.302872513
179	0.3017382423
180	0.3011149609
181	0.3003040584
182	0.2991827201
183	0.2986499516
184	0.2975568151
185	0.2965060552
186	0.2956420935
187	0.2950613818
188	0.2945194674
189	0.2937406672
190	0.2924615149
191	0.2918015191
192	0.2911473627
193	0.2900740602
194	0.2883084778
195	0.2867598017
196	0.2856699705
197	0.2851863514
198	0.2836968863
199	0.2825891142
200	0.2817233007
201	0.2810249497
202	0.2798594108
203	0.2790701131
204	0.278164213
205	0.2773728365
206	0.2767042791
207	0.2762185293
208	0.2754528177
209	0.2745058918
210	0.2741469627
211	0.2734965357
212	0.2720924375
213	0.2710015354
214	0.2703881133
215	0.2692951462
216	0.2683076733
217	0.26736356
218	0.2668275123
219	0.266162567
220	0.2654141876
221	0.2641159431
222	0.2632933482
223	0.2624959896
224	0.2615926639
225	0.2601902943
226	0.2591010674
227	0.2579846585
228	0.2565678867
229	0.2555939269
230	0.254963481
231	0.2544973404
232	0.2537471155
233	0.2527582729
234	0.2521366943
235	0.2516377909
236	0.2510307318
237	0.2503638697
238	0.2496351403
239	0.2491354514
240	0.2486773781
241	0.2478841737
242	0.2472841346
243	0.2465316561
244	0.2459905946
245	0.2453775457
246	0.2445106164
247	0.2437431881
248	0.2427098987
249	0.2421005391
250	0.2412158837
251	0.2403809318
252	0.2393893894
253	0.2388468467
254	0.2377211463
255	0.2367423582
256	0.2361773603
257	0.2356869116
258	0.2349541489
259	0.2343252825
260	0.2336025988
261	0.2329181002
262	0.2321371966
263	0.2310876972
