iter	Passed	Remaining
0	96	48046
1	121	30211
2	152	25246
3	191	23700
4	234	23214
5	278	22921
6	295	20818
7	323	19872
8	367	20038
9	388	19020
10	417	18568
11	473	19256
12	489	18346
13	502	17427
14	515	16654
15	528	15997
16	543	15450
17	562	15070
18	584	14795
19	598	14360
20	615	14035
21	654	14221
22	675	14009
23	702	13939
24	721	13714
25	746	13606
26	767	13448
27	788	13295
28	807	13110
29	829	12988
30	850	12860
31	866	12677
32	881	12479
33	895	12267
34	912	12120
35	935	12060
36	957	11976
37	969	11788
38	982	11616
39	997	11469
40	1011	11325
41	1027	11203
42	1047	11128
43	1059	10976
44	1070	10826
45	1101	10874
46	1143	11019
47	1194	11251
48	1225	11279
49	1267	11410
50	1291	11371
51	1315	11333
52	1331	11228
53	1343	11096
54	1359	11000
55	1385	10982
56	1400	10887
57	1422	10842
58	1436	10738
59	1452	10648
60	1465	10543
61	1480	10461
62	1500	10406
63	1528	10411
64	1544	10333
65	1565	10292
66	1585	10247
67	1605	10202
68	1624	10146
69	1641	10080
70	1656	10011
71	1678	9976
72	1695	9914
73	1709	9839
74	1728	9794
75	1742	9720
76	1761	9678
77	1783	9651
78	1798	9581
79	1812	9516
80	1829	9464
81	1844	9400
82	1864	9369
83	1881	9317
84	1900	9279
85	1917	9230
86	1930	9162
87	1952	9140
88	1964	9074
89	1978	9014
90	1992	8954
91	2004	8889
92	2017	8831
93	2031	8773
94	2048	8734
95	2073	8724
96	2091	8688
97	2109	8652
98	2133	8641
99	2178	8713
100	2214	8748
101	2260	8819
102	2285	8808
103	2317	8823
104	2340	8806
105	2358	8767
106	2376	8729
107	2393	8688
108	2423	8694
109	2441	8655
110	2454	8601
111	2468	8552
112	2481	8498
113	2497	8457
114	2510	8403
115	2533	8387
116	2547	8340
117	2562	8295
118	2582	8267
119	2604	8246
120	2623	8218
121	2638	8175
122	2655	8140
123	2670	8097
124	2687	8061
125	2702	8022
126	2727	8011
127	2743	7973
128	2767	7959
129	2786	7930
130	2800	7889
131	2814	7845
132	2830	7811
133	2851	7787
134	2874	7770
135	2893	7743
136	2912	7717
137	2924	7672
138	2939	7633
139	2953	7594
140	2968	7557
141	2982	7519
142	2994	7476
143	3007	7434
144	3022	7400
145	3036	7363
146	3054	7334
147	3070	7302
148	3087	7272
149	3101	7236
150	3117	7205
151	3132	7171
152	3150	7145
153	3170	7123
154	3206	7136
155	3229	7121
156	3248	7096
157	3271	7081
158	3288	7051
159	3308	7030
160	3334	7021
161	3369	7030
162	3422	7075
163	3439	7046
164	3453	7011
165	3464	6970
166	3477	6934
167	3493	6904
168	3508	6870
169	3525	6842
170	3537	6806
171	3552	6774
172	3570	6749
173	3585	6717
174	3610	6704
175	3633	6688
176	3652	6665
177	3668	6636
178	3686	6610
179	3699	6577
180	3722	6560
181	3742	6539
182	3761	6515
183	3775	6484
184	3793	6458
185	3808	6429
186	3825	6402
187	3841	6375
188	3864	6359
189	3888	6343
190	3909	6325
191	3931	6306
192	3948	6280
193	3963	6251
194	3977	6220
195	3992	6192
196	4004	6158
197	4018	6129
198	4035	6103
199	4058	6088
200	4076	6064
201	4092	6036
202	4107	6009
203	4126	5986
204	4145	5965
205	4164	5943
206	4190	5931
207	4221	5925
208	4249	5916
209	4263	5888
210	4286	5870
211	4305	5849
212	4352	5865
213	4393	5872
214	4458	5909
215	4474	5883
216	4489	5854
217	4502	5823
218	4515	5793
219	4527	5762
220	4540	5732
221	4561	5712
222	4581	5690
223	4597	5664
224	4615	5641
225	4633	5618
226	4650	5593
227	4667	5568
228	4684	5543
229	4703	5521
230	4729	5507
231	4745	5482
232	4760	5454
233	4777	5430
234	4793	5405
235	4809	5379
236	4824	5353
237	4846	5334
238	4859	5307
239	4884	5291
240	4901	5267
241	4916	5241
242	4932	5216
243	4948	5191
244	4961	5163
245	4975	5137
246	4988	5109
247	5016	5097
248	5033	5073
249	5046	5046
250	5059	5019
251	5072	4991
252	5100	4979
253	5115	4954
254	5130	4929
255	5145	4904
256	5160	4879
257	5179	4858
258	5212	4850
259	5230	4828
260	5247	4804
261	5262	4780
262	5276	4754
263	5290	4729
264	5305	4704
265	5327	4686
266	5397	4710
267	5459	4726
268	5495	4719
269	5512	4696
270	5530	4673
271	5549	4652
272	5571	4632
273	5591	4611
274	5609	4589
275	5622	4563
276	5641	4541
277	5659	4519
278	5672	4493
279	5694	4474
280	5711	4451
281	5726	4426
282	5742	4403
283	5758	4379
284	5774	4356
285	5785	4329
286	5799	4304
287	5817	4282
288	5834	4259
289	5847	4234
290	5866	4213
291	5884	4191
292	5899	4167
293	5914	4144
294	5927	4119
295	5941	4094
296	5955	4070
297	5974	4049
298	5990	4027
299	6009	4006
300	6026	3984
301	6063	3975
302	6098	3964
303	6114	3942
304	6131	3920
305	6149	3898
306	6172	3880
307	6199	3864
308	6214	3841
309	6227	3816
310	6239	3791
311	6252	3767
312	6264	3742
313	6287	3724
314	6314	3708
315	6331	3686
316	6358	3670
317	6377	3650
318	6401	3632
319	6428	3616
320	6463	3604
321	6495	3590
322	6524	3575
323	6544	3555
324	6563	3534
325	6581	3512
326	6598	3490
327	6611	3467
328	6625	3443
329	6639	3420
330	6660	3400
331	6679	3380
332	6694	3357
333	6714	3337
334	6730	3315
335	6741	3290
336	6756	3268
337	6777	3248
338	6795	3227
339	6817	3208
340	6849	3193
341	6867	3172
342	6882	3150
343	6899	3129
344	6912	3105
345	6927	3083
346	6942	3061
347	6963	3041
348	6976	3018
349	6993	2997
350	7004	2973
351	7015	2949
352	7027	2926
353	7043	2905
354	7058	2882
355	7072	2860
356	7089	2839
357	7103	2817
358	7121	2797
359	7143	2777
360	7157	2755
361	7174	2735
362	7192	2714
363	7204	2691
364	7217	2669
365	7231	2647
366	7244	2625
367	7258	2603
368	7273	2582
369	7288	2560
370	7303	2539
371	7320	2518
372	7340	2499
373	7366	2481
374	7391	2463
375	7404	2441
376	7422	2421
377	7448	2404
378	7469	2384
379	7508	2371
380	7557	2360
381	7581	2341
382	7596	2320
383	7616	2300
384	7634	2280
385	7651	2259
386	7667	2238
387	7682	2217
388	7696	2196
389	7711	2175
390	7722	2152
391	7741	2132
392	7757	2112
393	7771	2090
394	7788	2070
395	7806	2050
396	7827	2030
397	7848	2011
398	7863	1990
399	7878	1969
400	7891	1948
401	7906	1927
402	7922	1906
403	7937	1886
404	7955	1866
405	7973	1846
406	7990	1825
407	8008	1805
408	8028	1786
409	8048	1766
410	8062	1745
411	8076	1725
412	8094	1705
413	8117	1686
414	8141	1667
415	8161	1647
416	8177	1627
417	8190	1606
418	8211	1587
419	8225	1566
420	8250	1548
421	8265	1527
422	8280	1507
423	8296	1487
424	8315	1467
425	8340	1448
426	8360	1429
427	8374	1408
428	8394	1389
429	8423	1371
430	8464	1355
431	8497	1337
432	8532	1320
433	8588	1306
434	8632	1289
435	8652	1270
436	8670	1250
437	8687	1229
438	8699	1208
439	8714	1188
440	8730	1168
441	8746	1147
442	8762	1127
443	8791	1108
444	8819	1090
445	8836	1069
446	8854	1049
447	8867	1029
448	8881	1008
449	8899	988
450	8912	968
451	8932	948
452	8955	929
453	8979	909
454	8996	889
455	9020	870
456	9034	850
457	9045	829
458	9065	809
459	9085	790
460	9110	770
461	9133	751
462	9150	731
463	9163	710
464	9177	690
465	9189	670
466	9203	650
467	9217	630
468	9233	610
469	9247	590
470	9263	570
471	9279	550
472	9294	530
473	9318	511
474	9337	491
475	9354	471
476	9369	451
477	9384	431
478	9398	412
479	9419	392
480	9434	372
481	9448	352
482	9462	333
483	9487	313
484	9511	294
485	9538	274
486	9617	256
487	9650	237
488	9668	217
489	9687	197
490	9704	177
491	9720	158
492	9736	138
493	9753	118
494	9774	98
495	9798	79
496	9819	59
497	9832	39
498	9848	19
499	9869	0
