symbol,entry_date,entry_price,peak_price,gain_pct,days_to_peak,window_start_idx
ICCT,day_103,0.0002,0.22,109900.0,18,103
BBIG,2025-05-16 04:00:00,0.0001,0.05,49900.0,17,348
BBIG,2025-05-19 04:00:00,0.0001,0.05,49900.0,16,349
BBIG,2025-05-20 04:00:00,0.0001,0.05,49900.0,15,350
BBIG,2025-05-21 04:00:00,0.0001,0.05,49900.0,14,351
BBIG,2025-05-22 04:00:00,0.0001,0.05,49900.0,13,352
BBIG,2025-05-27 04:00:00,0.0001,0.05,49900.0,12,353
BBIG,2025-05-29 04:00:00,0.0001,0.05,49900.0,10,355
BBIG,2025-05-30 04:00:00,0.0001,0.05,49900.0,9,356
BBIG,2025-06-02 04:00:00,0.0001,0.05,49900.0,8,357
ICCT,day_100,0.0005,0.22,43900.0,21,100
ICCT,day_104,0.0008,0.22,27400.0,17,104
BBIG,2024-03-18 04:00:00,0.0004,0.1,24900.0,13,70
BBIG,2024-10-04 04:00:00,0.0002,0.05,24900.0,9,200
BBIG,2024-10-07 04:00:00,0.0002,0.05,24900.0,8,201
BBIG,2025-04-30 04:00:00,0.0002,0.05,24900.0,29,336
BBIG,2025-06-03 04:00:00,0.0002,0.05,24900.0,7,358
BBIG,2025-06-04 04:00:00,0.0002,0.05,24900.0,6,359
BBIG,2025-06-06 04:00:00,0.0002,0.05,24900.0,5,360
BBIG,2025-06-09 04:00:00,0.0002,0.05,24900.0,4,361
BBIG,2025-06-10 04:00:00,0.0002,0.05,24900.0,3,362
BBIG,2025-06-11 04:00:00,0.0002,0.05,24900.0,2,363
BBIG,2025-06-12 04:00:00,0.0002,0.05,24900.0,1,364
BBIG,2025-06-16 04:00:00,0.0002,0.05,24900.0,0,365
ICCT,day_105,0.0009,0.22,24344.44444444444,16,105
ICCT,day_107,0.001,0.22,21900.0,14,107
BBIG,2024-08-08 04:00:00,0.0006,0.125,20733.333333333336,22,162
BBIG,2024-08-09 04:00:00,0.0006,0.125,20733.333333333336,21,163
BBIG,2024-03-19 04:00:00,0.0005,0.1,19900.0,12,71
BBIG,2024-03-21 04:00:00,0.0005,0.1,19900.0,10,73
BBIG,2024-03-22 04:00:00,0.0005,0.1,19900.0,9,74
BBIG,2024-03-25 04:00:00,0.0005,0.1,19900.0,8,75
BBIG,2024-03-27 04:00:00,0.0005,0.1,19900.0,6,77
MARK,2025-07-21 04:00:00,0.0003,0.054,17900.0,3,403
BBIG,2024-08-06 04:00:00,0.0007,0.125,17757.142857142855,24,160
BBIG,2024-03-20 04:00:00,0.0006,0.1,16566.666666666668,11,72
BBIG,2024-03-26 04:00:00,0.0006,0.1,16566.666666666668,7,76
BBIG,2024-10-09 04:00:00,0.0003,0.05,16566.666666666668,7,202
BBIG,2024-10-16 04:00:00,0.0003,0.05,16566.666666666668,2,207
BBIG,2024-10-17 04:00:00,0.0003,0.05,16566.666666666668,1,208
BBIG,2025-05-01 04:00:00,0.0003,0.05,16566.666666666668,28,337
BBIG,2025-05-02 04:00:00,0.0003,0.05,16566.666666666668,27,338
BBIG,2025-05-08 04:00:00,0.0003,0.05,16566.666666666668,23,342
